onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
83.3640000000	n/a	n/a	Fixation	n/a	n/a	S100
84.3940000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
85.0580000000	n/a	n/a	Response: Right	n/a	n/a	S  3
85.4320000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
85.9980000000	n/a	n/a	Fixation	n/a	n/a	S100
86.9120000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
87.4820000000	n/a	n/a	Response: Up	n/a	n/a	S  1
87.8340000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
88.4000000000	n/a	n/a	Fixation	n/a	n/a	S100
89.2920000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
89.9240000000	n/a	n/a	Response: Left	n/a	n/a	S  2
90.2020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
90.7680000000	n/a	n/a	Fixation	n/a	n/a	S100
91.6600000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
92.5280000000	n/a	n/a	Response: Left	n/a	n/a	S  2
92.8860000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
93.4540000000	n/a	n/a	Fixation	n/a	n/a	S100
94.3260000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
94.9880000000	n/a	n/a	Response: Left	n/a	n/a	S  2
95.4560000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
96.0220000000	n/a	n/a	Fixation	n/a	n/a	S100
96.9640000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
97.6000000000	n/a	n/a	Response: Left	n/a	n/a	S  2
97.9900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
98.5580000000	n/a	n/a	Fixation	n/a	n/a	S100
99.5400000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
99.9640000000	n/a	n/a	Response: Left	n/a	n/a	S  2
100.3600000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
100.9260000000	n/a	n/a	Fixation	n/a	n/a	S100
101.8880000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
102.3720000000	n/a	n/a	Response: Right	n/a	n/a	S  3
102.6440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
103.2120000000	n/a	n/a	Fixation	n/a	n/a	S100
104.2420000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
104.6840000000	n/a	n/a	Response: Right	n/a	n/a	S  3
104.9960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
105.5640000000	n/a	n/a	Fixation	n/a	n/a	S100
106.5740000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
107.0440000000	n/a	n/a	Response: Right	n/a	n/a	S  3
107.3980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
107.9660000000	n/a	n/a	Fixation	n/a	n/a	S100
108.9460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
109.4320000000	n/a	n/a	Response: Up	n/a	n/a	S  1
109.7500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
110.3160000000	n/a	n/a	Fixation	n/a	n/a	S100
111.2480000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
111.7000000000	n/a	n/a	Response: Up	n/a	n/a	S  1
112.0680000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
112.6360000000	n/a	n/a	Fixation	n/a	n/a	S100
113.6460000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
114.0240000000	n/a	n/a	Response: Left	n/a	n/a	S  2
114.4540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
115.0200000000	n/a	n/a	Fixation	n/a	n/a	S100
115.9820000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
116.4160000000	n/a	n/a	Response: Left	n/a	n/a	S  2
116.8060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
117.3720000000	n/a	n/a	Fixation	n/a	n/a	S100
118.3640000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
118.8240000000	n/a	n/a	Response: Right	n/a	n/a	S  3
119.1560000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
119.7240000000	n/a	n/a	Fixation	n/a	n/a	S100
120.7260000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
121.2120000000	n/a	n/a	Response: Left	n/a	n/a	S  2
121.6420000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
122.2100000000	n/a	n/a	Fixation	n/a	n/a	S100
123.2000000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
123.7200000000	n/a	n/a	Response: Left	n/a	n/a	S  2
124.0940000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
124.6620000000	n/a	n/a	Fixation	n/a	n/a	S100
125.6020000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
126.1520000000	n/a	n/a	Response: Right	n/a	n/a	S  3
126.5800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
127.1460000000	n/a	n/a	Fixation	n/a	n/a	S100
128.1880000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
128.7080000000	n/a	n/a	Response: Right	n/a	n/a	S  3
129.1320000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
129.6980000000	n/a	n/a	Fixation	n/a	n/a	S100
130.5900000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
131.2000000000	n/a	n/a	Response: Up	n/a	n/a	S  1
131.6500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
132.2160000000	n/a	n/a	Fixation	n/a	n/a	S100
133.1180000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
133.6200000000	n/a	n/a	Response: Right	n/a	n/a	S  3
133.9340000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
134.5020000000	n/a	n/a	Fixation	n/a	n/a	S100
135.3940000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
135.8480000000	n/a	n/a	Response: Left	n/a	n/a	S  2
136.2860000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
136.8540000000	n/a	n/a	Fixation	n/a	n/a	S100
137.7460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
138.2040000000	n/a	n/a	Response: Right	n/a	n/a	S  3
138.5380000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
139.1060000000	n/a	n/a	Fixation	n/a	n/a	S100
140.0460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
140.5280000000	n/a	n/a	Response: Right	n/a	n/a	S  3
140.8060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
141.3740000000	n/a	n/a	Fixation	n/a	n/a	S100
142.3260000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
142.7840000000	n/a	n/a	Response: Right	n/a	n/a	S  3
143.1920000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
