onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
249.2440000000	n/a	n/a	Fixation	n/a	n/a	S100
250.2740000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
250.7300000000	n/a	n/a	Response: Up	n/a	n/a	S  1
250.9960000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
251.5620000000	n/a	n/a	Fixation	n/a	n/a	S100
252.4260000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
253.0380000000	n/a	n/a	Response: Left	n/a	n/a	S  2
253.4300000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
253.9980000000	n/a	n/a	Fixation	n/a	n/a	S100
254.9200000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
255.4140000000	n/a	n/a	Response: Left	n/a	n/a	S  2
255.7820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
256.3500000000	n/a	n/a	Fixation	n/a	n/a	S100
257.2100000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
257.7180000000	n/a	n/a	Response: Right	n/a	n/a	S  3
258.1520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
258.7180000000	n/a	n/a	Fixation	n/a	n/a	S100
259.6200000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
259.9700000000	n/a	n/a	Response: Up	n/a	n/a	S  1
260.3520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
260.9200000000	n/a	n/a	Fixation	n/a	n/a	S100
261.9400000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
262.4780000000	n/a	n/a	Response: Left	n/a	n/a	S  2
262.7540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
263.3220000000	n/a	n/a	Fixation	n/a	n/a	S100
264.2020000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
264.6380000000	n/a	n/a	Response: Up	n/a	n/a	S  1
265.0060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
265.5740000000	n/a	n/a	Fixation	n/a	n/a	S100
266.6040000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
267.0340000000	n/a	n/a	Response: Up	n/a	n/a	S  1
267.4420000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
268.0080000000	n/a	n/a	Fixation	n/a	n/a	S100
269.0500000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
269.4540000000	n/a	n/a	Response: Up	n/a	n/a	S  1
269.8440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
270.4100000000	n/a	n/a	Fixation	n/a	n/a	S100
271.4420000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
272.1340000000	n/a	n/a	Response: Up	n/a	n/a	S  1
272.5960000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
273.1620000000	n/a	n/a	Fixation	n/a	n/a	S100
274.1240000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
274.7160000000	n/a	n/a	Response: Left	n/a	n/a	S  2
274.9980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
275.5640000000	n/a	n/a	Fixation	n/a	n/a	S100
276.6160000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
277.1680000000	n/a	n/a	Response: Left	n/a	n/a	S  2
277.5500000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
278.1160000000	n/a	n/a	Fixation	n/a	n/a	S100
279.0980000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
279.5960000000	n/a	n/a	Response: Up	n/a	n/a	S  1
279.9840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
280.5520000000	n/a	n/a	Fixation	n/a	n/a	S100
281.5320000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
282.0240000000	n/a	n/a	Response: Up	n/a	n/a	S  1
282.4360000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
283.0040000000	n/a	n/a	Fixation	n/a	n/a	S100
283.8840000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
284.3680000000	n/a	n/a	Response: Up	n/a	n/a	S  1
284.7220000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
285.2880000000	n/a	n/a	Fixation	n/a	n/a	S100
286.3400000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
286.9920000000	n/a	n/a	Response: Up	n/a	n/a	S  1
287.2740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
287.8400000000	n/a	n/a	Fixation	n/a	n/a	S100
288.7520000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
289.2760000000	n/a	n/a	Response: Left	n/a	n/a	S  2
289.5740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
290.1420000000	n/a	n/a	Fixation	n/a	n/a	S100
291.1740000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
291.6920000000	n/a	n/a	Response: Right	n/a	n/a	S  3
292.1600000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
292.7280000000	n/a	n/a	Fixation	n/a	n/a	S100
293.6580000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
294.1920000000	n/a	n/a	Response: Right	n/a	n/a	S  3
294.4620000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
295.0300000000	n/a	n/a	Fixation	n/a	n/a	S100
295.9700000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
296.6600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
296.9300000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
297.4980000000	n/a	n/a	Fixation	n/a	n/a	S100
298.4380000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
298.9560000000	n/a	n/a	Response: Up	n/a	n/a	S  1
299.2160000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
299.7820000000	n/a	n/a	Fixation	n/a	n/a	S100
300.7540000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
301.2960000000	n/a	n/a	Response: Left	n/a	n/a	S  2
301.6180000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
302.1840000000	n/a	n/a	Fixation	n/a	n/a	S100
303.2160000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
303.7640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
304.2020000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
304.7700000000	n/a	n/a	Fixation	n/a	n/a	S100
305.8020000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
306.3600000000	n/a	n/a	Response: Right	n/a	n/a	S  3
306.6880000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
307.2560000000	n/a	n/a	Fixation	n/a	n/a	S100
308.2260000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
308.9560000000	n/a	n/a	Response: Right	n/a	n/a	S  3
309.3060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
309.8740000000	n/a	n/a	Fixation	n/a	n/a	S100
310.7840000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
311.3600000000	n/a	n/a	Response: Right	n/a	n/a	S  3
311.8260000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
312.3920000000	n/a	n/a	Fixation	n/a	n/a	S100
313.2640000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
313.8320000000	n/a	n/a	Response: Right	n/a	n/a	S  3
314.1760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
314.7440000000	n/a	n/a	Fixation	n/a	n/a	S100
315.7260000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
316.2720000000	n/a	n/a	Response: Up	n/a	n/a	S  1
316.6120000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
317.1800000000	n/a	n/a	Fixation	n/a	n/a	S100
318.0800000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
318.5800000000	n/a	n/a	Response: Up	n/a	n/a	S  1
319.0140000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
319.5820000000	n/a	n/a	Fixation	n/a	n/a	S100
320.6320000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
321.1560000000	n/a	n/a	Response: Left	n/a	n/a	S  2
321.5160000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
322.0820000000	n/a	n/a	Fixation	n/a	n/a	S100
323.0440000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
323.5680000000	n/a	n/a	Response: Up	n/a	n/a	S  1
323.9520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
324.5180000000	n/a	n/a	Fixation	n/a	n/a	S100
325.5500000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
326.2400000000	n/a	n/a	Response: Left	n/a	n/a	S  2
326.5540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
327.1200000000	n/a	n/a	Fixation	n/a	n/a	S100
328.1720000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
328.9840000000	n/a	n/a	Response: Left	n/a	n/a	S  2
