onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
282.3180000000	n/a	n/a	Fixation	n/a	n/a	S100
283.3580000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
284.7120000000	n/a	n/a	Response: Up	n/a	n/a	S  1
285.1200000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
285.6860000000	n/a	n/a	Fixation	n/a	n/a	S100
286.6120000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
287.2200000000	n/a	n/a	Response: Right	n/a	n/a	S  3
287.5880000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
288.1560000000	n/a	n/a	Fixation	n/a	n/a	S100
289.1560000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
289.6680000000	n/a	n/a	Response: Up	n/a	n/a	S  1
290.0740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
290.6400000000	n/a	n/a	Fixation	n/a	n/a	S100
291.6220000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
292.1400000000	n/a	n/a	Response: Right	n/a	n/a	S  3
292.5580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
293.1260000000	n/a	n/a	Fixation	n/a	n/a	S100
294.0780000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
294.5640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
294.8940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
295.4600000000	n/a	n/a	Fixation	n/a	n/a	S100
296.3520000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
297.1160000000	n/a	n/a	Response: Left	n/a	n/a	S  2
297.5300000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
298.0960000000	n/a	n/a	Fixation	n/a	n/a	S100
299.0480000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
299.6040000000	n/a	n/a	Response: Up	n/a	n/a	S  1
300.0480000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
300.6140000000	n/a	n/a	Fixation	n/a	n/a	S100
301.5960000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
302.1080000000	n/a	n/a	Response: Up	n/a	n/a	S  1
302.4660000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
303.0340000000	n/a	n/a	Fixation	n/a	n/a	S100
303.9140000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
304.3720000000	n/a	n/a	Response: Right	n/a	n/a	S  3
304.6840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
305.2520000000	n/a	n/a	Fixation	n/a	n/a	S100
306.1340000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
306.5960000000	n/a	n/a	Response: Right	n/a	n/a	S  3
306.9860000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
307.5540000000	n/a	n/a	Fixation	n/a	n/a	S100
308.5340000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
309.0480000000	n/a	n/a	Response: Right	n/a	n/a	S  3
309.3880000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
309.9560000000	n/a	n/a	Fixation	n/a	n/a	S100
310.9360000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
311.3760000000	n/a	n/a	Response: Up	n/a	n/a	S  1
311.8400000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
312.4080000000	n/a	n/a	Fixation	n/a	n/a	S100
313.2980000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
313.9160000000	n/a	n/a	Response: Left	n/a	n/a	S  2
314.3580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
314.9260000000	n/a	n/a	Fixation	n/a	n/a	S100
315.8460000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
316.3720000000	n/a	n/a	Response: Right	n/a	n/a	S  3
316.7440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
317.3100000000	n/a	n/a	Fixation	n/a	n/a	S100
318.2520000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
318.7040000000	n/a	n/a	Response: Right	n/a	n/a	S  3
319.0280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
319.5960000000	n/a	n/a	Fixation	n/a	n/a	S100
320.5880000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
321.0640000000	n/a	n/a	Response: Right	n/a	n/a	S  3
321.4140000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
321.9820000000	n/a	n/a	Fixation	n/a	n/a	S100
322.8620000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
323.5080000000	n/a	n/a	Response: Left	n/a	n/a	S  2
323.9660000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
324.5340000000	n/a	n/a	Fixation	n/a	n/a	S100
325.5240000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
326.1440000000	n/a	n/a	Response: Left	n/a	n/a	S  2
326.4840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
327.0520000000	n/a	n/a	Fixation	n/a	n/a	S100
328.0520000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
328.6320000000	n/a	n/a	Response: Left	n/a	n/a	S  2
329.0360000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
329.6040000000	n/a	n/a	Fixation	n/a	n/a	S100
330.6540000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
331.0920000000	n/a	n/a	Response: Left	n/a	n/a	S  2
331.4540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
332.0220000000	n/a	n/a	Fixation	n/a	n/a	S100
333.0140000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
333.5480000000	n/a	n/a	Response: Up	n/a	n/a	S  1
334.0060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
334.5740000000	n/a	n/a	Fixation	n/a	n/a	S100
335.5460000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
336.0920000000	n/a	n/a	Response: Left	n/a	n/a	S  2
336.5420000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
337.1100000000	n/a	n/a	Fixation	n/a	n/a	S100
338.0900000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
338.6120000000	n/a	n/a	Response: Left	n/a	n/a	S  2
339.0780000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
339.6440000000	n/a	n/a	Fixation	n/a	n/a	S100
340.6760000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
341.5000000000	n/a	n/a	Response: Right	n/a	n/a	S  3
341.9300000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
342.4960000000	n/a	n/a	Fixation	n/a	n/a	S100
343.4880000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
344.1720000000	n/a	n/a	Response: Left	n/a	n/a	S  2
344.5980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
345.1660000000	n/a	n/a	Fixation	n/a	n/a	S100
346.0460000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
346.4840000000	n/a	n/a	Response: Up	n/a	n/a	S  1
346.8660000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
347.4340000000	n/a	n/a	Fixation	n/a	n/a	S100
348.4260000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
349.2600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
349.7020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
350.2700000000	n/a	n/a	Fixation	n/a	n/a	S100
351.2500000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
351.7960000000	n/a	n/a	Response: Left	n/a	n/a	S  2
352.0700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
352.6380000000	n/a	n/a	Fixation	n/a	n/a	S100
353.6080000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
354.1440000000	n/a	n/a	Response: Right	n/a	n/a	S  3
354.4720000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
355.0400000000	n/a	n/a	Fixation	n/a	n/a	S100
355.9700000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
356.5000000000	n/a	n/a	Response: Up	n/a	n/a	S  1
356.8400000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
357.4080000000	n/a	n/a	Fixation	n/a	n/a	S100
358.4600000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
358.9360000000	n/a	n/a	Response: Left	n/a	n/a	S  2
359.3600000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
359.9260000000	n/a	n/a	Fixation	n/a	n/a	S100
360.9680000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
361.5560000000	n/a	n/a	Response: Right	n/a	n/a	S  3
361.8940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
362.4620000000	n/a	n/a	Fixation	n/a	n/a	S100
363.4540000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
364.1880000000	n/a	n/a	Response: Left	n/a	n/a	S  2
364.5800000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
365.1480000000	n/a	n/a	Fixation	n/a	n/a	S100
366.0680000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
366.5200000000	n/a	n/a	Response: Up	n/a	n/a	S  1
366.9480000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
367.5160000000	n/a	n/a	Fixation	n/a	n/a	S100
368.4560000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
369.4120000000	n/a	n/a	Response: Up	n/a	n/a	S  1
369.8000000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
370.3680000000	n/a	n/a	Fixation	n/a	n/a	S100
371.2500000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
371.8400000000	n/a	n/a	Response: Left	n/a	n/a	S  2
372.1020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
372.6700000000	n/a	n/a	Fixation	n/a	n/a	S100
373.7000000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
374.2760000000	n/a	n/a	Response: Left	n/a	n/a	S  2
374.6880000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
375.2540000000	n/a	n/a	Fixation	n/a	n/a	S100
376.2760000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
376.8480000000	n/a	n/a	Response: Left	n/a	n/a	S  2
377.1900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
377.7560000000	n/a	n/a	Fixation	n/a	n/a	S100
378.7780000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
379.2760000000	n/a	n/a	Response: Up	n/a	n/a	S  1
379.7080000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
380.2760000000	n/a	n/a	Fixation	n/a	n/a	S100
381.2960000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
381.8720000000	n/a	n/a	Response: Up	n/a	n/a	S  1
382.3280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
382.8940000000	n/a	n/a	Fixation	n/a	n/a	S100
383.7460000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
384.4520000000	n/a	n/a	Response: Left	n/a	n/a	S  2
384.8960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
385.4620000000	n/a	n/a	Fixation	n/a	n/a	S100
386.4340000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
387.0200000000	n/a	n/a	Response: Up	n/a	n/a	S  1
387.4800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
388.0480000000	n/a	n/a	Fixation	n/a	n/a	S100
388.9000000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
389.3800000000	n/a	n/a	Response: Right	n/a	n/a	S  3
389.6820000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
390.2500000000	n/a	n/a	Fixation	n/a	n/a	S100
391.1100000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
391.8680000000	n/a	n/a	Response: Left	n/a	n/a	S  2
392.2520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
392.8180000000	n/a	n/a	Fixation	n/a	n/a	S100
393.6900000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
394.6600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
395.0700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
395.6380000000	n/a	n/a	Fixation	n/a	n/a	S100
396.4880000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
396.9040000000	n/a	n/a	Response: Up	n/a	n/a	S  1
397.3220000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
397.8880000000	n/a	n/a	Fixation	n/a	n/a	S100
398.8100000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
399.2160000000	n/a	n/a	Response: Left	n/a	n/a	S  2
399.6740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
400.2400000000	n/a	n/a	Fixation	n/a	n/a	S100
401.2720000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
401.9560000000	n/a	n/a	Response: Left	n/a	n/a	S  2
402.3420000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
402.9100000000	n/a	n/a	Fixation	n/a	n/a	S100
