onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
26.4380000000	n/a	n/a	Fixation	n/a	n/a	S100
27.4980000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
28.0140000000	n/a	n/a	Response: Up	n/a	n/a	S  1
28.4900000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
29.0560000000	n/a	n/a	Fixation	n/a	n/a	S100
30.0500000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
30.6820000000	n/a	n/a	Response: Right	n/a	n/a	S  3
30.9900000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
31.5580000000	n/a	n/a	Fixation	n/a	n/a	S100
32.5200000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
32.9180000000	n/a	n/a	Response: Left	n/a	n/a	S  2
33.2760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
33.8440000000	n/a	n/a	Fixation	n/a	n/a	S100
34.7440000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
35.2980000000	n/a	n/a	Response: Up	n/a	n/a	S  1
35.6780000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
36.2440000000	n/a	n/a	Fixation	n/a	n/a	S100
37.2060000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
37.6500000000	n/a	n/a	Response: Up	n/a	n/a	S  1
38.0640000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
38.6300000000	n/a	n/a	Fixation	n/a	n/a	S100
39.6120000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
40.1340000000	n/a	n/a	Response: Left	n/a	n/a	S  2
40.4640000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
41.0320000000	n/a	n/a	Fixation	n/a	n/a	S100
42.0540000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
42.5940000000	n/a	n/a	Response: Right	n/a	n/a	S  3
43.0160000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
43.5840000000	n/a	n/a	Fixation	n/a	n/a	S100
44.4660000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
45.0340000000	n/a	n/a	Response: Up	n/a	n/a	S  1
45.3020000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
45.8680000000	n/a	n/a	Fixation	n/a	n/a	S100
46.8900000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
47.4180000000	n/a	n/a	Response: Up	n/a	n/a	S  1
47.7880000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
48.3540000000	n/a	n/a	Fixation	n/a	n/a	S100
49.2460000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
50.0020000000	n/a	n/a	Response: Left	n/a	n/a	S  2
50.4560000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
51.0220000000	n/a	n/a	Fixation	n/a	n/a	S100
51.9040000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
52.3860000000	n/a	n/a	Response: Left	n/a	n/a	S  2
52.7580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
53.3240000000	n/a	n/a	Fixation	n/a	n/a	S100
54.2460000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
54.6900000000	n/a	n/a	Response: Left	n/a	n/a	S  2
55.1420000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
55.7100000000	n/a	n/a	Fixation	n/a	n/a	S100
56.5600000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
57.1420000000	n/a	n/a	Response: Right	n/a	n/a	S  3
57.5440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
58.1120000000	n/a	n/a	Fixation	n/a	n/a	S100
59.1320000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
59.6820000000	n/a	n/a	Response: Left	n/a	n/a	S  2
60.0140000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
60.5800000000	n/a	n/a	Fixation	n/a	n/a	S100
61.6120000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
62.0660000000	n/a	n/a	Response: Up	n/a	n/a	S  1
62.3480000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
62.9160000000	n/a	n/a	Fixation	n/a	n/a	S100
63.9160000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
64.7900000000	n/a	n/a	Response: Up	n/a	n/a	S  1
65.1340000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
65.7000000000	n/a	n/a	Fixation	n/a	n/a	S100
66.7120000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
67.6340000000	n/a	n/a	Response: Right	n/a	n/a	S  3
