onset	duration	sample	trial_type	response_time	stim_file	value
1393.7400000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1394.0740000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1394.4500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1395.0180000000	n/a	n/a	Fixation	n/a	n/a	S100
1395.8980000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1396.3920000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1396.6520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1397.2200000000	n/a	n/a	Fixation	n/a	n/a	S100
1398.2100000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1398.6600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1399.0380000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1399.6040000000	n/a	n/a	Fixation	n/a	n/a	S100
1400.4660000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
1400.9480000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1401.2900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1401.8560000000	n/a	n/a	Fixation	n/a	n/a	S100
1402.7580000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1403.2200000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1403.6240000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1404.1920000000	n/a	n/a	Fixation	n/a	n/a	S100
1405.1720000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
1405.6600000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1406.1100000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1406.6760000000	n/a	n/a	Fixation	n/a	n/a	S100
1407.6680000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
1408.2320000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1408.4940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1409.0620000000	n/a	n/a	Fixation	n/a	n/a	S100
1409.9120000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1410.4200000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1410.8140000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1411.3800000000	n/a	n/a	Fixation	n/a	n/a	S100
1412.4220000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
1412.8960000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1413.3480000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1413.9160000000	n/a	n/a	Fixation	n/a	n/a	S100
1414.7860000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1415.2920000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1415.7340000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
