onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
120.7960000000	n/a	n/a	Fixation	n/a	n/a	S100
121.8140000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
123.1160000000	n/a	n/a	Response: Left	n/a	n/a	S  2
123.4480000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
124.0160000000	n/a	n/a	Fixation	n/a	n/a	S100
124.9100000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
125.3920000000	n/a	n/a	Response: Left	n/a	n/a	S  2
125.6840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
126.2500000000	n/a	n/a	Fixation	n/a	n/a	S100
127.2920000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
127.9200000000	n/a	n/a	Response: Up	n/a	n/a	S  1
128.1860000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
128.7520000000	n/a	n/a	Fixation	n/a	n/a	S100
129.8040000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
130.3240000000	n/a	n/a	Response: Up	n/a	n/a	S  1
130.7040000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
131.2700000000	n/a	n/a	Fixation	n/a	n/a	S100
132.1520000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
132.6160000000	n/a	n/a	Response: Up	n/a	n/a	S  1
132.9880000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
133.5560000000	n/a	n/a	Fixation	n/a	n/a	S100
134.5480000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
135.0960000000	n/a	n/a	Response: Left	n/a	n/a	S  2
135.4900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
136.0580000000	n/a	n/a	Fixation	n/a	n/a	S100
137.1100000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
137.5480000000	n/a	n/a	Response: Left	n/a	n/a	S  2
137.9760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
138.5420000000	n/a	n/a	Fixation	n/a	n/a	S100
139.4840000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
139.9720000000	n/a	n/a	Response: Up	n/a	n/a	S  1
140.3620000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
140.9280000000	n/a	n/a	Fixation	n/a	n/a	S100
141.9400000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
142.3680000000	n/a	n/a	Response: Left	n/a	n/a	S  2
