onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
256.5140000000	n/a	n/a	Fixation	n/a	n/a	S100
257.4740000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
258.6720000000	n/a	n/a	Response: Up	n/a	n/a	S  1
259.0660000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
259.6320000000	n/a	n/a	Fixation	n/a	n/a	S100
260.6780000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
261.8360000000	n/a	n/a	Response: Right	n/a	n/a	S  3
262.2680000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
262.8360000000	n/a	n/a	Fixation	n/a	n/a	S100
263.8660000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
264.6200000000	n/a	n/a	Response: Right	n/a	n/a	S  3
264.9200000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
265.4880000000	n/a	n/a	Fixation	n/a	n/a	S100
266.4680000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
267.2720000000	n/a	n/a	Response: Left	n/a	n/a	S  2
267.5560000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
268.1220000000	n/a	n/a	Fixation	n/a	n/a	S100
269.1140000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
269.8800000000	n/a	n/a	Response: Up	n/a	n/a	S  1
270.1740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
270.7420000000	n/a	n/a	Fixation	n/a	n/a	S100
271.6020000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
272.7000000000	n/a	n/a	Response: Right	n/a	n/a	S  3
272.9940000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
273.5600000000	n/a	n/a	Fixation	n/a	n/a	S100
274.5420000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
275.0360000000	n/a	n/a	Response: Left	n/a	n/a	S  2
275.3940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
275.9620000000	n/a	n/a	Fixation	n/a	n/a	S100
276.8640000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
277.6640000000	n/a	n/a	Response: Left	n/a	n/a	S  2
278.0460000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
278.6140000000	n/a	n/a	Fixation	n/a	n/a	S100
279.5060000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
280.1040000000	n/a	n/a	Response: Up	n/a	n/a	S  1
280.4660000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
281.0320000000	n/a	n/a	Fixation	n/a	n/a	S100
282.0240000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
282.5040000000	n/a	n/a	Response: Left	n/a	n/a	S  2
282.8500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
283.4180000000	n/a	n/a	Fixation	n/a	n/a	S100
284.4680000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
285.2080000000	n/a	n/a	Response: Right	n/a	n/a	S  3
285.6700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
286.2360000000	n/a	n/a	Fixation	n/a	n/a	S100
287.2280000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
287.6960000000	n/a	n/a	Response: Up	n/a	n/a	S  1
287.9720000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
288.5380000000	n/a	n/a	Fixation	n/a	n/a	S100
289.4200000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
289.8600000000	n/a	n/a	Response: Right	n/a	n/a	S  3
290.1220000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
290.6900000000	n/a	n/a	Fixation	n/a	n/a	S100
291.7400000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
292.2400000000	n/a	n/a	Response: Right	n/a	n/a	S  3
292.6420000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
293.2080000000	n/a	n/a	Fixation	n/a	n/a	S100
294.1000000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
294.7640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
295.0440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
295.6100000000	n/a	n/a	Fixation	n/a	n/a	S100
296.5120000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
297.1360000000	n/a	n/a	Response: Left	n/a	n/a	S  2
297.5960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
298.1620000000	n/a	n/a	Fixation	n/a	n/a	S100
299.0940000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
299.6520000000	n/a	n/a	Response: Up	n/a	n/a	S  1
