onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
387.5760000000	n/a	n/a	Fixation	n/a	n/a	S100
388.6360000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
389.6560000000	n/a	n/a	Response: Left	n/a	n/a	S  2
390.1100000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
390.6780000000	n/a	n/a	Fixation	n/a	n/a	S100
391.6320000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
392.2840000000	n/a	n/a	Response: Right	n/a	n/a	S  3
392.6460000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
393.2120000000	n/a	n/a	Fixation	n/a	n/a	S100
394.2440000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
394.7600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
395.1980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
395.7640000000	n/a	n/a	Fixation	n/a	n/a	S100
396.6260000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
397.1360000000	n/a	n/a	Response: Right	n/a	n/a	S  3
397.5160000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
398.0840000000	n/a	n/a	Fixation	n/a	n/a	S100
399.0040000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
399.5200000000	n/a	n/a	Response: Right	n/a	n/a	S  3
399.8520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
400.4180000000	n/a	n/a	Fixation	n/a	n/a	S100
401.2800000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
401.8640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
402.2040000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
402.7700000000	n/a	n/a	Fixation	n/a	n/a	S100
403.7020000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
404.2300000000	n/a	n/a	Response: Up	n/a	n/a	S  1
404.6380000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
405.2060000000	n/a	n/a	Fixation	n/a	n/a	S100
406.1760000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
406.6540000000	n/a	n/a	Response: Right	n/a	n/a	S  3
407.0240000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
407.5900000000	n/a	n/a	Fixation	n/a	n/a	S100
408.5220000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
408.9820000000	n/a	n/a	Response: Up	n/a	n/a	S  1
409.3260000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
409.8920000000	n/a	n/a	Fixation	n/a	n/a	S100
410.7940000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
411.3060000000	n/a	n/a	Response: Up	n/a	n/a	S  1
411.5760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
412.1440000000	n/a	n/a	Fixation	n/a	n/a	S100
413.1260000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
413.6060000000	n/a	n/a	Response: Up	n/a	n/a	S  1
413.9960000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
414.5620000000	n/a	n/a	Fixation	n/a	n/a	S100
415.5040000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
416.0220000000	n/a	n/a	Response: Up	n/a	n/a	S  1
416.3300000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
416.8980000000	n/a	n/a	Fixation	n/a	n/a	S100
417.8080000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
418.3780000000	n/a	n/a	Response: Up	n/a	n/a	S  1
418.7500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
419.3160000000	n/a	n/a	Fixation	n/a	n/a	S100
420.3580000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
420.7500000000	n/a	n/a	Response: Up	n/a	n/a	S  1
421.1000000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
421.6680000000	n/a	n/a	Fixation	n/a	n/a	S100
422.6300000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
423.2140000000	n/a	n/a	Response: Right	n/a	n/a	S  3
423.6700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
424.2360000000	n/a	n/a	Fixation	n/a	n/a	S100
425.1380000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
425.5900000000	n/a	n/a	Response: Left	n/a	n/a	S  2
425.9540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
426.5220000000	n/a	n/a	Fixation	n/a	n/a	S100
427.4920000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
427.9540000000	n/a	n/a	Response: Left	n/a	n/a	S  2
428.2900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
428.8560000000	n/a	n/a	Fixation	n/a	n/a	S100
429.8280000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
430.2340000000	n/a	n/a	Response: Up	n/a	n/a	S  1
430.5740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
431.1420000000	n/a	n/a	Fixation	n/a	n/a	S100
432.1040000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
432.6220000000	n/a	n/a	Response: Left	n/a	n/a	S  2
432.8940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
433.4600000000	n/a	n/a	Fixation	n/a	n/a	S100
434.4720000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
434.9140000000	n/a	n/a	Response: Right	n/a	n/a	S  3
435.2280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
435.7960000000	n/a	n/a	Fixation	n/a	n/a	S100
436.8260000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
437.2860000000	n/a	n/a	Response: Left	n/a	n/a	S  2
437.6800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
438.2480000000	n/a	n/a	Fixation	n/a	n/a	S100
439.2880000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
439.7540000000	n/a	n/a	Response: Right	n/a	n/a	S  3
440.0820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
440.6500000000	n/a	n/a	Fixation	n/a	n/a	S100
441.6500000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
442.0740000000	n/a	n/a	Response: Up	n/a	n/a	S  1
442.4680000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
443.0340000000	n/a	n/a	Fixation	n/a	n/a	S100
443.9460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
444.4020000000	n/a	n/a	Response: Up	n/a	n/a	S  1
444.7360000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
445.3020000000	n/a	n/a	Fixation	n/a	n/a	S100
446.2240000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
446.7020000000	n/a	n/a	Response: Up	n/a	n/a	S  1
447.0200000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
447.5880000000	n/a	n/a	Fixation	n/a	n/a	S100
448.4480000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
448.9420000000	n/a	n/a	Response: Right	n/a	n/a	S  3
449.3560000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
449.9220000000	n/a	n/a	Fixation	n/a	n/a	S100
450.9640000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
451.4740000000	n/a	n/a	Response: Right	n/a	n/a	S  3
451.7740000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
452.3420000000	n/a	n/a	Fixation	n/a	n/a	S100
453.2520000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
453.8220000000	n/a	n/a	Response: Right	n/a	n/a	S  3
454.1260000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
454.6940000000	n/a	n/a	Fixation	n/a	n/a	S100
455.6140000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
456.0500000000	n/a	n/a	Response: Right	n/a	n/a	S  3
456.4280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
456.9940000000	n/a	n/a	Fixation	n/a	n/a	S100
457.9460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
458.3140000000	n/a	n/a	Response: Right	n/a	n/a	S  3
458.6120000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
459.1800000000	n/a	n/a	Fixation	n/a	n/a	S100
460.0420000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
460.7220000000	n/a	n/a	Response: Left	n/a	n/a	S  2
461.1820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
461.7480000000	n/a	n/a	Fixation	n/a	n/a	S100
462.7100000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
