onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
258.8100000000	n/a	n/a	Fixation	n/a	n/a	S100
259.8200000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
261.0000000000	n/a	n/a	Response: Up	n/a	n/a	S  1
261.4460000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
262.0120000000	n/a	n/a	Fixation	n/a	n/a	S100
263.0560000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
264.2680000000	n/a	n/a	Response: Up	n/a	n/a	S  1
264.5820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
265.1480000000	n/a	n/a	Fixation	n/a	n/a	S100
266.1500000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
266.8440000000	n/a	n/a	Response: Up	n/a	n/a	S  1
267.1160000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
267.6840000000	n/a	n/a	Fixation	n/a	n/a	S100
268.5740000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
269.2000000000	n/a	n/a	Response: Up	n/a	n/a	S  1
269.6020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
270.1680000000	n/a	n/a	Fixation	n/a	n/a	S100
271.0300000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
271.6160000000	n/a	n/a	Response: Left	n/a	n/a	S  2
271.8860000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
272.4540000000	n/a	n/a	Fixation	n/a	n/a	S100
273.4840000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
274.2320000000	n/a	n/a	Response: Left	n/a	n/a	S  2
274.6720000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
275.2400000000	n/a	n/a	Fixation	n/a	n/a	S100
276.2800000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
276.9520000000	n/a	n/a	Response: Left	n/a	n/a	S  2
277.2740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
277.8420000000	n/a	n/a	Fixation	n/a	n/a	S100
278.8620000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
279.4920000000	n/a	n/a	Response: Up	n/a	n/a	S  1
279.7760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
280.3440000000	n/a	n/a	Fixation	n/a	n/a	S100
281.2840000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
281.9000000000	n/a	n/a	Response: Up	n/a	n/a	S  1
282.3440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
282.9120000000	n/a	n/a	Fixation	n/a	n/a	S100
283.8620000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
284.5880000000	n/a	n/a	Response: Up	n/a	n/a	S  1
285.0460000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
285.6140000000	n/a	n/a	Fixation	n/a	n/a	S100
286.5740000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
287.1440000000	n/a	n/a	Response: Up	n/a	n/a	S  1
287.4820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
288.0480000000	n/a	n/a	Fixation	n/a	n/a	S100
288.9600000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
289.6260000000	n/a	n/a	Response: Right	n/a	n/a	S  3
289.9000000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
290.4680000000	n/a	n/a	Fixation	n/a	n/a	S100
291.3880000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
291.9180000000	n/a	n/a	Response: Up	n/a	n/a	S  1
292.2680000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
292.8360000000	n/a	n/a	Fixation	n/a	n/a	S100
293.6980000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
294.2780000000	n/a	n/a	Response: Right	n/a	n/a	S  3
294.7200000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
295.2880000000	n/a	n/a	Fixation	n/a	n/a	S100
296.3380000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
296.8500000000	n/a	n/a	Response: Up	n/a	n/a	S  1
297.3060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
297.8740000000	n/a	n/a	Fixation	n/a	n/a	S100
298.8040000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
299.2500000000	n/a	n/a	Response: Left	n/a	n/a	S  2
299.5920000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
300.1580000000	n/a	n/a	Fixation	n/a	n/a	S100
301.0100000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
301.6340000000	n/a	n/a	Response: Right	n/a	n/a	S  3
302.0600000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
302.6260000000	n/a	n/a	Fixation	n/a	n/a	S100
303.5080000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
303.9940000000	n/a	n/a	Response: Up	n/a	n/a	S  1
304.3780000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
304.9460000000	n/a	n/a	Fixation	n/a	n/a	S100
305.9460000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
306.5220000000	n/a	n/a	Response: Right	n/a	n/a	S  3
306.9640000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
307.5300000000	n/a	n/a	Fixation	n/a	n/a	S100
308.4120000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
308.9860000000	n/a	n/a	Response: Right	n/a	n/a	S  3
309.3160000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
309.8820000000	n/a	n/a	Fixation	n/a	n/a	S100
310.7940000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
311.3460000000	n/a	n/a	Response: Left	n/a	n/a	S  2
311.8000000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
312.3680000000	n/a	n/a	Fixation	n/a	n/a	S100
313.3380000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
313.8900000000	n/a	n/a	Response: Right	n/a	n/a	S  3
314.2180000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
314.7860000000	n/a	n/a	Fixation	n/a	n/a	S100
315.6780000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
316.2540000000	n/a	n/a	Response: Left	n/a	n/a	S  2
316.6380000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
317.2040000000	n/a	n/a	Fixation	n/a	n/a	S100
318.1960000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
319.1300000000	n/a	n/a	Response: Up	n/a	n/a	S  1
319.5400000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
320.1060000000	n/a	n/a	Fixation	n/a	n/a	S100
321.1480000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
321.7860000000	n/a	n/a	Response: Right	n/a	n/a	S  3
322.1420000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
322.7080000000	n/a	n/a	Fixation	n/a	n/a	S100
323.7600000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
324.2300000000	n/a	n/a	Response: Left	n/a	n/a	S  2
324.5100000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
325.0780000000	n/a	n/a	Fixation	n/a	n/a	S100
326.0180000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
326.6180000000	n/a	n/a	Response: Right	n/a	n/a	S  3
326.9280000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
327.4960000000	n/a	n/a	Fixation	n/a	n/a	S100
328.5460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
329.1940000000	n/a	n/a	Response: Up	n/a	n/a	S  1
329.5980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
330.1640000000	n/a	n/a	Fixation	n/a	n/a	S100
331.0960000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
331.7900000000	n/a	n/a	Response: Up	n/a	n/a	S  1
332.0500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
332.6160000000	n/a	n/a	Fixation	n/a	n/a	S100
