onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
309.9020000000	n/a	n/a	Fixation	n/a	n/a	S100
310.8440000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
312.7040000000	n/a	n/a	Feedback Null: "No Response"	n/a	n/a	S  4
313.2720000000	n/a	n/a	Fixation	n/a	n/a	S100
314.2960000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
314.7180000000	n/a	n/a	Response: Up	n/a	n/a	S  1
315.0400000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
315.6060000000	n/a	n/a	Fixation	n/a	n/a	S100
316.5080000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
316.9220000000	n/a	n/a	Response: Left	n/a	n/a	S  2
317.2740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
317.8420000000	n/a	n/a	Fixation	n/a	n/a	S100
318.8120000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
319.3380000000	n/a	n/a	Response: Right	n/a	n/a	S  3
319.7100000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
320.2760000000	n/a	n/a	Fixation	n/a	n/a	S100
321.2880000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
321.7700000000	n/a	n/a	Response: Up	n/a	n/a	S  1
322.1780000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
322.7460000000	n/a	n/a	Fixation	n/a	n/a	S100
323.5960000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
324.2740000000	n/a	n/a	Response: Right	n/a	n/a	S  3
324.5460000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
325.1140000000	n/a	n/a	Fixation	n/a	n/a	S100
326.0540000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
326.5780000000	n/a	n/a	Response: Right	n/a	n/a	S  3
327.0480000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
327.6160000000	n/a	n/a	Fixation	n/a	n/a	S100
328.5060000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
329.0340000000	n/a	n/a	Response: Left	n/a	n/a	S  2
329.3660000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
