onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
325.9740000000	n/a	n/a	Fixation	n/a	n/a	S100
326.9880000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
327.4860000000	n/a	n/a	Response: Up	n/a	n/a	S  1
327.7760000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
328.3420000000	n/a	n/a	Fixation	n/a	n/a	S100
329.3280000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
329.8860000000	n/a	n/a	Response: Left	n/a	n/a	S  2
330.2100000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
330.7780000000	n/a	n/a	Fixation	n/a	n/a	S100
331.7800000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
332.5820000000	n/a	n/a	Response: Right	n/a	n/a	S  3
332.9460000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
333.5140000000	n/a	n/a	Fixation	n/a	n/a	S100
334.4040000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
335.0980000000	n/a	n/a	Response: Up	n/a	n/a	S  1
335.4980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
336.0660000000	n/a	n/a	Fixation	n/a	n/a	S100
337.0160000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
337.6500000000	n/a	n/a	Response: Right	n/a	n/a	S  3
337.9840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
338.5500000000	n/a	n/a	Fixation	n/a	n/a	S100
339.4520000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
340.0780000000	n/a	n/a	Response: Up	n/a	n/a	S  1
340.3520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
340.9200000000	n/a	n/a	Fixation	n/a	n/a	S100
341.9500000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
342.5700000000	n/a	n/a	Response: Left	n/a	n/a	S  2
343.0040000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
343.5720000000	n/a	n/a	Fixation	n/a	n/a	S100
344.5920000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
345.2700000000	n/a	n/a	Response: Right	n/a	n/a	S  3
345.5900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
346.1560000000	n/a	n/a	Fixation	n/a	n/a	S100
347.1180000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
347.8660000000	n/a	n/a	Response: Up	n/a	n/a	S  1
348.1420000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
348.7080000000	n/a	n/a	Fixation	n/a	n/a	S100
349.6900000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
350.4540000000	n/a	n/a	Response: Up	n/a	n/a	S  1
350.7760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
