onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
286.2520000000	n/a	n/a	Fixation	n/a	n/a	S100
287.3240000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
287.9640000000	n/a	n/a	Response: Left	n/a	n/a	S  2
288.4040000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
288.9720000000	n/a	n/a	Fixation	n/a	n/a	S100
289.8960000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
290.5760000000	n/a	n/a	Response: Right	n/a	n/a	S  3
290.8900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
291.4560000000	n/a	n/a	Fixation	n/a	n/a	S100
292.4580000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
292.9360000000	n/a	n/a	Response: Right	n/a	n/a	S  3
293.3240000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
293.8920000000	n/a	n/a	Fixation	n/a	n/a	S100
294.8620000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
295.3760000000	n/a	n/a	Response: Up	n/a	n/a	S  1
295.6760000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
296.2440000000	n/a	n/a	Fixation	n/a	n/a	S100
297.2940000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
297.8380000000	n/a	n/a	Response: Left	n/a	n/a	S  2
298.1780000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
298.7460000000	n/a	n/a	Fixation	n/a	n/a	S100
299.7560000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
300.2220000000	n/a	n/a	Response: Up	n/a	n/a	S  1
300.6140000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
301.1800000000	n/a	n/a	Fixation	n/a	n/a	S100
302.2320000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
302.6780000000	n/a	n/a	Response: Left	n/a	n/a	S  2
302.9980000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
303.5660000000	n/a	n/a	Fixation	n/a	n/a	S100
304.4860000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
305.0900000000	n/a	n/a	Response: Up	n/a	n/a	S  1
305.4340000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
306.0000000000	n/a	n/a	Fixation	n/a	n/a	S100
307.0020000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
307.4860000000	n/a	n/a	Response: Right	n/a	n/a	S  3
307.7520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
308.3200000000	n/a	n/a	Fixation	n/a	n/a	S100
309.2900000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
309.7660000000	n/a	n/a	Response: Left	n/a	n/a	S  2
310.0700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
310.6380000000	n/a	n/a	Fixation	n/a	n/a	S100
311.5380000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
312.0740000000	n/a	n/a	Response: Left	n/a	n/a	S  2
312.5400000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
313.1060000000	n/a	n/a	Fixation	n/a	n/a	S100
313.9580000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
314.4220000000	n/a	n/a	Response: Up	n/a	n/a	S  1
314.7240000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
315.2920000000	n/a	n/a	Fixation	n/a	n/a	S100
316.2720000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
316.7100000000	n/a	n/a	Response: Right	n/a	n/a	S  3
317.1760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
317.7440000000	n/a	n/a	Fixation	n/a	n/a	S100
318.7840000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
319.2260000000	n/a	n/a	Response: Up	n/a	n/a	S  1
319.5620000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
320.1280000000	n/a	n/a	Fixation	n/a	n/a	S100
321.0300000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
321.4820000000	n/a	n/a	Response: Up	n/a	n/a	S  1
321.7460000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
322.3140000000	n/a	n/a	Fixation	n/a	n/a	S100
323.3440000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
