onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
312.4220000000	n/a	n/a	Fixation	n/a	n/a	S100
313.3720000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
314.3240000000	n/a	n/a	Response: Left	n/a	n/a	S  2
314.6900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
315.2580000000	n/a	n/a	Fixation	n/a	n/a	S100
316.2020000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
317.3800000000	n/a	n/a	Response: Right	n/a	n/a	S  3
317.7260000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
318.2940000000	n/a	n/a	Fixation	n/a	n/a	S100
319.1740000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
319.9640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
320.3940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
320.9620000000	n/a	n/a	Fixation	n/a	n/a	S100
322.0140000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
322.9080000000	n/a	n/a	Response: Up	n/a	n/a	S  1
323.1800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
323.7480000000	n/a	n/a	Fixation	n/a	n/a	S100
324.5980000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
325.4240000000	n/a	n/a	Response: Right	n/a	n/a	S  3
325.7320000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
326.3000000000	n/a	n/a	Fixation	n/a	n/a	S100
327.3300000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
328.0000000000	n/a	n/a	Response: Right	n/a	n/a	S  3
328.4000000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
328.9680000000	n/a	n/a	Fixation	n/a	n/a	S100
329.8300000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
330.5800000000	n/a	n/a	Response: Left	n/a	n/a	S  2
331.0360000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
331.6040000000	n/a	n/a	Fixation	n/a	n/a	S100
332.5740000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
333.0560000000	n/a	n/a	Response: Up	n/a	n/a	S  1
333.4220000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
333.9880000000	n/a	n/a	Fixation	n/a	n/a	S100
334.9400000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
335.4840000000	n/a	n/a	Response: Left	n/a	n/a	S  2
335.8240000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
336.3900000000	n/a	n/a	Fixation	n/a	n/a	S100
337.4120000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
337.8120000000	n/a	n/a	Response: Up	n/a	n/a	S  1
338.1920000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
338.7580000000	n/a	n/a	Fixation	n/a	n/a	S100
339.7300000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
340.2920000000	n/a	n/a	Response: Right	n/a	n/a	S  3
340.6260000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
341.1940000000	n/a	n/a	Fixation	n/a	n/a	S100
342.0560000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
342.5520000000	n/a	n/a	Response: Up	n/a	n/a	S  1
343.0120000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
343.5800000000	n/a	n/a	Fixation	n/a	n/a	S100
344.5500000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
345.0840000000	n/a	n/a	Response: Left	n/a	n/a	S  2
345.3800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
345.9480000000	n/a	n/a	Fixation	n/a	n/a	S100
346.9680000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
347.5080000000	n/a	n/a	Response: Up	n/a	n/a	S  1
347.8500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
348.4160000000	n/a	n/a	Fixation	n/a	n/a	S100
349.3580000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
349.8680000000	n/a	n/a	Response: Up	n/a	n/a	S  1
350.1840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
350.7520000000	n/a	n/a	Fixation	n/a	n/a	S100
351.7720000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
352.3880000000	n/a	n/a	Response: Left	n/a	n/a	S  2
352.7360000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
353.3040000000	n/a	n/a	Fixation	n/a	n/a	S100
354.1940000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
354.6180000000	n/a	n/a	Response: Left	n/a	n/a	S  2
354.9540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
355.5220000000	n/a	n/a	Fixation	n/a	n/a	S100
356.5120000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
356.9620000000	n/a	n/a	Response: Up	n/a	n/a	S  1
357.2560000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
357.8240000000	n/a	n/a	Fixation	n/a	n/a	S100
358.6840000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
359.1460000000	n/a	n/a	Response: Right	n/a	n/a	S  3
359.6080000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
360.1760000000	n/a	n/a	Fixation	n/a	n/a	S100
361.1860000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
361.6980000000	n/a	n/a	Response: Left	n/a	n/a	S  2
362.0440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
362.6100000000	n/a	n/a	Fixation	n/a	n/a	S100
363.6420000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
