onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
281.1780000000	n/a	n/a	Fixation	n/a	n/a	S100
282.0680000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
282.7760000000	n/a	n/a	Response: Left	n/a	n/a	S  2
283.2460000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
283.8140000000	n/a	n/a	Fixation	n/a	n/a	S100
284.8080000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
285.2600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
285.6820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
286.2480000000	n/a	n/a	Fixation	n/a	n/a	S100
287.1400000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
287.6000000000	n/a	n/a	Response: Left	n/a	n/a	S  2
288.0340000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
288.6000000000	n/a	n/a	Fixation	n/a	n/a	S100
289.6020000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
290.0120000000	n/a	n/a	Response: Up	n/a	n/a	S  1
290.3180000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
290.8860000000	n/a	n/a	Fixation	n/a	n/a	S100
291.9060000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
292.4040000000	n/a	n/a	Response: Right	n/a	n/a	S  3
292.7540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
293.3200000000	n/a	n/a	Fixation	n/a	n/a	S100
294.2720000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
294.7760000000	n/a	n/a	Response: Left	n/a	n/a	S  2
295.1220000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
295.6900000000	n/a	n/a	Fixation	n/a	n/a	S100
296.6500000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
297.1400000000	n/a	n/a	Response: Up	n/a	n/a	S  1
297.5740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
298.1420000000	n/a	n/a	Fixation	n/a	n/a	S100
299.1520000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
299.5760000000	n/a	n/a	Response: Up	n/a	n/a	S  1
299.8600000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
300.4260000000	n/a	n/a	Fixation	n/a	n/a	S100
301.3480000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
301.9680000000	n/a	n/a	Response: Right	n/a	n/a	S  3
302.2280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
302.7940000000	n/a	n/a	Fixation	n/a	n/a	S100
303.8360000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
304.5080000000	n/a	n/a	Response: Left	n/a	n/a	S  2
304.9800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
305.5460000000	n/a	n/a	Fixation	n/a	n/a	S100
306.4680000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
306.9640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
307.3820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
307.9480000000	n/a	n/a	Fixation	n/a	n/a	S100
308.9900000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
309.4480000000	n/a	n/a	Response: Up	n/a	n/a	S  1
309.7840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
310.3500000000	n/a	n/a	Fixation	n/a	n/a	S100
311.2320000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
311.7720000000	n/a	n/a	Response: Left	n/a	n/a	S  2
312.1180000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
312.6860000000	n/a	n/a	Fixation	n/a	n/a	S100
313.5960000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
314.1720000000	n/a	n/a	Response: Left	n/a	n/a	S  2
314.5040000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
315.0700000000	n/a	n/a	Fixation	n/a	n/a	S100
316.0420000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
316.5280000000	n/a	n/a	Response: Left	n/a	n/a	S  2
316.8880000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
317.4560000000	n/a	n/a	Fixation	n/a	n/a	S100
318.4780000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
318.9680000000	n/a	n/a	Response: Left	n/a	n/a	S  2
319.2900000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
319.8580000000	n/a	n/a	Fixation	n/a	n/a	S100
320.8500000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
321.2400000000	n/a	n/a	Response: Up	n/a	n/a	S  1
321.5920000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
322.1600000000	n/a	n/a	Fixation	n/a	n/a	S100
323.2100000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
323.6520000000	n/a	n/a	Response: Up	n/a	n/a	S  1
324.0440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
324.6120000000	n/a	n/a	Fixation	n/a	n/a	S100
325.6220000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
326.0640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
326.4960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
327.0640000000	n/a	n/a	Fixation	n/a	n/a	S100
328.1140000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
328.5720000000	n/a	n/a	Response: Up	n/a	n/a	S  1
328.8640000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
329.4320000000	n/a	n/a	Fixation	n/a	n/a	S100
330.2840000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
330.7400000000	n/a	n/a	Response: Up	n/a	n/a	S  1
331.1840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
331.7500000000	n/a	n/a	Fixation	n/a	n/a	S100
332.6720000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
333.0880000000	n/a	n/a	Response: Up	n/a	n/a	S  1
333.5020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
334.0680000000	n/a	n/a	Fixation	n/a	n/a	S100
334.9700000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
335.5480000000	n/a	n/a	Response: Left	n/a	n/a	S  2
335.9200000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
336.4880000000	n/a	n/a	Fixation	n/a	n/a	S100
337.4580000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
337.9320000000	n/a	n/a	Response: Left	n/a	n/a	S  2
338.3220000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
338.8880000000	n/a	n/a	Fixation	n/a	n/a	S100
339.7400000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
340.2640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
340.5740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
341.1400000000	n/a	n/a	Fixation	n/a	n/a	S100
342.0020000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
342.5320000000	n/a	n/a	Response: Left	n/a	n/a	S  2
342.8580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
343.4260000000	n/a	n/a	Fixation	n/a	n/a	S100
344.3560000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
345.0040000000	n/a	n/a	Response: Right	n/a	n/a	S  3
345.4280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
345.9940000000	n/a	n/a	Fixation	n/a	n/a	S100
346.9460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
347.4480000000	n/a	n/a	Response: Right	n/a	n/a	S  3
347.7960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
348.3620000000	n/a	n/a	Fixation	n/a	n/a	S100
349.3940000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
349.8840000000	n/a	n/a	Response: Left	n/a	n/a	S  2
350.1640000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
350.7320000000	n/a	n/a	Fixation	n/a	n/a	S100
351.7220000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
352.2400000000	n/a	n/a	Response: Right	n/a	n/a	S  3
352.6000000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
