onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
239.7060000000	n/a	n/a	Fixation	n/a	n/a	S100
240.6560000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
241.6520000000	n/a	n/a	Response: Left	n/a	n/a	S  2
242.0060000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
242.5740000000	n/a	n/a	Fixation	n/a	n/a	S100
243.4980000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
244.0520000000	n/a	n/a	Response: Left	n/a	n/a	S  2
244.5080000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
245.0760000000	n/a	n/a	Fixation	n/a	n/a	S100
246.0880000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
246.5360000000	n/a	n/a	Response: Left	n/a	n/a	S  2
246.9940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
247.5620000000	n/a	n/a	Fixation	n/a	n/a	S100
248.4320000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
248.9120000000	n/a	n/a	Response: Up	n/a	n/a	S  1
249.2960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
249.8620000000	n/a	n/a	Fixation	n/a	n/a	S100
250.7840000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
251.2920000000	n/a	n/a	Response: Left	n/a	n/a	S  2
251.6980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
252.2640000000	n/a	n/a	Fixation	n/a	n/a	S100
253.2760000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
253.9880000000	n/a	n/a	Response: Right	n/a	n/a	S  3
254.4500000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
255.0160000000	n/a	n/a	Fixation	n/a	n/a	S100
255.9380000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
256.4280000000	n/a	n/a	Response: Left	n/a	n/a	S  2
256.8520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
257.4180000000	n/a	n/a	Fixation	n/a	n/a	S100
258.3200000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
258.7680000000	n/a	n/a	Response: Left	n/a	n/a	S  2
259.0860000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
259.6540000000	n/a	n/a	Fixation	n/a	n/a	S100
260.5540000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
261.0120000000	n/a	n/a	Response: Left	n/a	n/a	S  2
261.3040000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
261.8720000000	n/a	n/a	Fixation	n/a	n/a	S100
262.8440000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
263.4040000000	n/a	n/a	Response: Left	n/a	n/a	S  2
263.6900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
264.2580000000	n/a	n/a	Fixation	n/a	n/a	S100
265.1380000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
265.8920000000	n/a	n/a	Response: Right	n/a	n/a	S  3
266.2760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
266.8420000000	n/a	n/a	Fixation	n/a	n/a	S100
267.8140000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
268.9600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
269.2280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
269.7940000000	n/a	n/a	Fixation	n/a	n/a	S100
270.6960000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
271.2080000000	n/a	n/a	Response: Up	n/a	n/a	S  1
271.4960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
272.0620000000	n/a	n/a	Fixation	n/a	n/a	S100
273.0040000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
273.4800000000	n/a	n/a	Response: Left	n/a	n/a	S  2
273.8820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
274.4480000000	n/a	n/a	Fixation	n/a	n/a	S100
275.3100000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
275.8060000000	n/a	n/a	Response: Left	n/a	n/a	S  2
276.0820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
276.6500000000	n/a	n/a	Fixation	n/a	n/a	S100
277.7020000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
278.1820000000	n/a	n/a	Response: Right	n/a	n/a	S  3
278.4520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
279.0180000000	n/a	n/a	Fixation	n/a	n/a	S100
