onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
308.4460000000	n/a	n/a	Fixation	n/a	n/a	S100
309.4780000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
309.8960000000	n/a	n/a	Response: Up	n/a	n/a	S  1
310.3140000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
310.8800000000	n/a	n/a	Fixation	n/a	n/a	S100
311.7360000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
311.9880000000	n/a	n/a	Response: Left	n/a	n/a	S  2
312.3820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
312.9500000000	n/a	n/a	Fixation	n/a	n/a	S100
313.8600000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
314.1280000000	n/a	n/a	Response: Right	n/a	n/a	S  3
314.4840000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
315.0500000000	n/a	n/a	Fixation	n/a	n/a	S100
315.9020000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
316.1160000000	n/a	n/a	Response: Up	n/a	n/a	S  1
316.5360000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
317.1020000000	n/a	n/a	Fixation	n/a	n/a	S100
317.9940000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
318.0960000000	n/a	n/a	Response: Left	n/a	n/a	S  2
318.4700000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
319.0380000000	n/a	n/a	Fixation	n/a	n/a	S100
320.0480000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
320.1040000000	n/a	n/a	Response: Left	n/a	n/a	S  2
320.3720000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
320.9380000000	n/a	n/a	Fixation	n/a	n/a	S100
321.8100000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
322.2120000000	n/a	n/a	Response: Up	n/a	n/a	S  1
322.5740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
323.1400000000	n/a	n/a	Fixation	n/a	n/a	S100
324.1620000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
324.4320000000	n/a	n/a	Response: Right	n/a	n/a	S  3
324.8240000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
325.3920000000	n/a	n/a	Fixation	n/a	n/a	S100
326.4240000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
326.8560000000	n/a	n/a	Response: Left	n/a	n/a	S  2
327.2440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
327.8100000000	n/a	n/a	Fixation	n/a	n/a	S100
328.8320000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
328.8940000000	n/a	n/a	Response: Up	n/a	n/a	S  1
329.3440000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
329.9120000000	n/a	n/a	Fixation	n/a	n/a	S100
330.8640000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
331.2220000000	n/a	n/a	Response: Left	n/a	n/a	S  2
331.4960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
332.0640000000	n/a	n/a	Fixation	n/a	n/a	S100
333.1040000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
333.5060000000	n/a	n/a	Response: Up	n/a	n/a	S  1
333.8820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
334.4480000000	n/a	n/a	Fixation	n/a	n/a	S100
335.4200000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
335.8500000000	n/a	n/a	Response: Left	n/a	n/a	S  2
336.2340000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
336.8000000000	n/a	n/a	Fixation	n/a	n/a	S100
337.7720000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
338.1740000000	n/a	n/a	Response: Left	n/a	n/a	S  2
338.5680000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
339.1360000000	n/a	n/a	Fixation	n/a	n/a	S100
340.0060000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
340.5580000000	n/a	n/a	Response: Left	n/a	n/a	S  2
340.9040000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
341.4700000000	n/a	n/a	Fixation	n/a	n/a	S100
342.5120000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
343.3980000000	n/a	n/a	Response: Left	n/a	n/a	S  2
343.6720000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
344.2400000000	n/a	n/a	Fixation	n/a	n/a	S100
345.1400000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
345.9220000000	n/a	n/a	Response: Right	n/a	n/a	S  3
346.2080000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
346.7740000000	n/a	n/a	Fixation	n/a	n/a	S100
347.7960000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
348.1900000000	n/a	n/a	Response: Left	n/a	n/a	S  2
348.6420000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
349.2100000000	n/a	n/a	Fixation	n/a	n/a	S100
