onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
241.6440000000	n/a	n/a	Fixation	n/a	n/a	S100
242.5740000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
243.2100000000	n/a	n/a	Response: Left	n/a	n/a	S  2
243.6280000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
244.1940000000	n/a	n/a	Fixation	n/a	n/a	S100
245.1200000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
245.6020000000	n/a	n/a	Response: Left	n/a	n/a	S  2
245.9120000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
246.4800000000	n/a	n/a	Fixation	n/a	n/a	S100
247.4320000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
247.8740000000	n/a	n/a	Response: Left	n/a	n/a	S  2
248.2140000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
248.7820000000	n/a	n/a	Fixation	n/a	n/a	S100
249.7220000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
250.2340000000	n/a	n/a	Response: Right	n/a	n/a	S  3
250.6000000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
251.1660000000	n/a	n/a	Fixation	n/a	n/a	S100
252.0580000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
252.7660000000	n/a	n/a	Response: Left	n/a	n/a	S  2
253.1180000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
253.6860000000	n/a	n/a	Fixation	n/a	n/a	S100
254.5960000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
255.0900000000	n/a	n/a	Response: Left	n/a	n/a	S  2
255.3540000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
255.9200000000	n/a	n/a	Fixation	n/a	n/a	S100
256.8120000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
257.3500000000	n/a	n/a	Response: Left	n/a	n/a	S  2
257.7380000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
258.3060000000	n/a	n/a	Fixation	n/a	n/a	S100
259.2160000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
259.7140000000	n/a	n/a	Response: Right	n/a	n/a	S  3
259.9740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
260.5400000000	n/a	n/a	Fixation	n/a	n/a	S100
261.5820000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
262.1060000000	n/a	n/a	Response: Up	n/a	n/a	S  1
262.4580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
263.0260000000	n/a	n/a	Fixation	n/a	n/a	S100
264.0180000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
264.4300000000	n/a	n/a	Response: Up	n/a	n/a	S  1
