onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
310.4040000000	n/a	n/a	Fixation	n/a	n/a	S100
311.3640000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
312.5000000000	n/a	n/a	Response: Left	n/a	n/a	S  2
312.8720000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
313.4400000000	n/a	n/a	Fixation	n/a	n/a	S100
314.4440000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
314.9280000000	n/a	n/a	Response: Up	n/a	n/a	S  1
315.3900000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
315.9580000000	n/a	n/a	Fixation	n/a	n/a	S100
316.8280000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
317.5200000000	n/a	n/a	Response: Up	n/a	n/a	S  1
317.9420000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
318.5100000000	n/a	n/a	Fixation	n/a	n/a	S100
319.4600000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
319.9640000000	n/a	n/a	Response: Right	n/a	n/a	S  3
320.3280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
320.8940000000	n/a	n/a	Fixation	n/a	n/a	S100
321.8860000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
322.3680000000	n/a	n/a	Response: Up	n/a	n/a	S  1
322.7960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
323.3640000000	n/a	n/a	Fixation	n/a	n/a	S100
324.3340000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
324.8920000000	n/a	n/a	Response: Right	n/a	n/a	S  3
325.3140000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
325.8820000000	n/a	n/a	Fixation	n/a	n/a	S100
326.8540000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
327.4360000000	n/a	n/a	Response: Right	n/a	n/a	S  3
327.8500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
328.4180000000	n/a	n/a	Fixation	n/a	n/a	S100
329.3280000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
329.8800000000	n/a	n/a	Response: Right	n/a	n/a	S  3
330.1680000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
330.7360000000	n/a	n/a	Fixation	n/a	n/a	S100
331.6860000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
332.2800000000	n/a	n/a	Response: Up	n/a	n/a	S  1
332.6700000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
333.2380000000	n/a	n/a	Fixation	n/a	n/a	S100
334.0980000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
335.0640000000	n/a	n/a	Response: Right	n/a	n/a	S  3
335.5060000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
336.0720000000	n/a	n/a	Fixation	n/a	n/a	S100
336.9440000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
337.3880000000	n/a	n/a	Response: Left	n/a	n/a	S  2
337.8400000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
338.4080000000	n/a	n/a	Fixation	n/a	n/a	S100
339.3000000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
339.7880000000	n/a	n/a	Response: Left	n/a	n/a	S  2
340.1600000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
340.7260000000	n/a	n/a	Fixation	n/a	n/a	S100
341.5980000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
342.1680000000	n/a	n/a	Response: Up	n/a	n/a	S  1
342.5440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
343.1120000000	n/a	n/a	Fixation	n/a	n/a	S100
344.0720000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
344.6600000000	n/a	n/a	Response: Up	n/a	n/a	S  1
344.9800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
345.5460000000	n/a	n/a	Fixation	n/a	n/a	S100
346.5880000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
347.0520000000	n/a	n/a	Response: Right	n/a	n/a	S  3
347.4320000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
347.9980000000	n/a	n/a	Fixation	n/a	n/a	S100
348.8700000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
349.3600000000	n/a	n/a	Response: Right	n/a	n/a	S  3
349.7340000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
350.3000000000	n/a	n/a	Fixation	n/a	n/a	S100
351.2420000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
351.7600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
352.1360000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
352.7020000000	n/a	n/a	Fixation	n/a	n/a	S100
353.7140000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
354.0680000000	n/a	n/a	Response: Up	n/a	n/a	S  1
354.4700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
355.0380000000	n/a	n/a	Fixation	n/a	n/a	S100
355.9680000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
356.5600000000	n/a	n/a	Response: Left	n/a	n/a	S  2
356.8720000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
357.4400000000	n/a	n/a	Fixation	n/a	n/a	S100
358.4900000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
359.0560000000	n/a	n/a	Response: Right	n/a	n/a	S  3
359.3580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
359.9240000000	n/a	n/a	Fixation	n/a	n/a	S100
360.7860000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
361.5760000000	n/a	n/a	Response: Up	n/a	n/a	S  1
361.9260000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
362.4940000000	n/a	n/a	Fixation	n/a	n/a	S100
363.5340000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
364.0280000000	n/a	n/a	Response: Right	n/a	n/a	S  3
364.4440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
365.0120000000	n/a	n/a	Fixation	n/a	n/a	S100
366.0020000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
366.5840000000	n/a	n/a	Response: Left	n/a	n/a	S  2
366.8960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
367.4640000000	n/a	n/a	Fixation	n/a	n/a	S100
368.4840000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
369.0000000000	n/a	n/a	Response: Up	n/a	n/a	S  1
369.3980000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
369.9660000000	n/a	n/a	Fixation	n/a	n/a	S100
370.9760000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
371.4320000000	n/a	n/a	Response: Right	n/a	n/a	S  3
371.8000000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
372.3680000000	n/a	n/a	Fixation	n/a	n/a	S100
373.2180000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
373.7160000000	n/a	n/a	Response: Up	n/a	n/a	S  1
373.9860000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
