onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
171.4480000000	n/a	n/a	Fixation	n/a	n/a	S100
172.4280000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
173.8720000000	n/a	n/a	Response: Up	n/a	n/a	S  1
174.3500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
174.9160000000	n/a	n/a	Fixation	n/a	n/a	S100
175.7820000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
176.3040000000	n/a	n/a	Response: Up	n/a	n/a	S  1
176.5680000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
177.1360000000	n/a	n/a	Fixation	n/a	n/a	S100
178.1460000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
179.1320000000	n/a	n/a	Response: Right	n/a	n/a	S  3
179.4360000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
180.0040000000	n/a	n/a	Fixation	n/a	n/a	S100
181.0560000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
181.4240000000	n/a	n/a	Response: Up	n/a	n/a	S  1
181.8060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
182.3720000000	n/a	n/a	Fixation	n/a	n/a	S100
183.2640000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
183.7720000000	n/a	n/a	Response: Right	n/a	n/a	S  3
184.1240000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
184.6900000000	n/a	n/a	Fixation	n/a	n/a	S100
185.5920000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
186.1320000000	n/a	n/a	Response: Left	n/a	n/a	S  2
186.4580000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
187.0260000000	n/a	n/a	Fixation	n/a	n/a	S100
188.0280000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
188.6040000000	n/a	n/a	Response: Up	n/a	n/a	S  1
189.0780000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
189.6440000000	n/a	n/a	Fixation	n/a	n/a	S100
190.6960000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
191.5280000000	n/a	n/a	Response: Left	n/a	n/a	S  2
191.8140000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
192.3800000000	n/a	n/a	Fixation	n/a	n/a	S100
193.2720000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
193.9360000000	n/a	n/a	Response: Up	n/a	n/a	S  1
194.3980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
194.9660000000	n/a	n/a	Fixation	n/a	n/a	S100
195.9960000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
196.5800000000	n/a	n/a	Response: Right	n/a	n/a	S  3
197.0000000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
197.5680000000	n/a	n/a	Fixation	n/a	n/a	S100
198.5480000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
199.0440000000	n/a	n/a	Response: Left	n/a	n/a	S  2
199.5020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
200.0700000000	n/a	n/a	Fixation	n/a	n/a	S100
200.9900000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
201.5360000000	n/a	n/a	Response: Right	n/a	n/a	S  3
201.8700000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
202.4380000000	n/a	n/a	Fixation	n/a	n/a	S100
203.3780000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
