onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
317.2280000000	n/a	n/a	Fixation	n/a	n/a	S100
318.2380000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
318.8520000000	n/a	n/a	Response: Left	n/a	n/a	S  2
319.1960000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
319.7640000000	n/a	n/a	Fixation	n/a	n/a	S100
320.7780000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
321.2520000000	n/a	n/a	Response: Up	n/a	n/a	S  1
321.5320000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
322.0980000000	n/a	n/a	Fixation	n/a	n/a	S100
322.9600000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
323.4520000000	n/a	n/a	Response: Left	n/a	n/a	S  2
323.7660000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
324.3340000000	n/a	n/a	Fixation	n/a	n/a	S100
325.3140000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
325.7640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
326.0840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
326.6520000000	n/a	n/a	Fixation	n/a	n/a	S100
327.7040000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
328.1920000000	n/a	n/a	Response: Left	n/a	n/a	S  2
328.6540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
329.2200000000	n/a	n/a	Fixation	n/a	n/a	S100
330.1420000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
330.6160000000	n/a	n/a	Response: Left	n/a	n/a	S  2
330.9380000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
331.5060000000	n/a	n/a	Fixation	n/a	n/a	S100
332.3860000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
332.8320000000	n/a	n/a	Response: Left	n/a	n/a	S  2
333.2060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
333.7740000000	n/a	n/a	Fixation	n/a	n/a	S100
334.6260000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
335.0440000000	n/a	n/a	Response: Up	n/a	n/a	S  1
335.3920000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
335.9580000000	n/a	n/a	Fixation	n/a	n/a	S100
336.9500000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
337.3920000000	n/a	n/a	Response: Right	n/a	n/a	S  3
337.7940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
338.3600000000	n/a	n/a	Fixation	n/a	n/a	S100
339.2720000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
339.6680000000	n/a	n/a	Response: Up	n/a	n/a	S  1
339.9280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
340.4960000000	n/a	n/a	Fixation	n/a	n/a	S100
341.4160000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
341.9040000000	n/a	n/a	Response: Right	n/a	n/a	S  3
342.2800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
342.8480000000	n/a	n/a	Fixation	n/a	n/a	S100
343.8080000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
344.1960000000	n/a	n/a	Response: Left	n/a	n/a	S  2
344.5980000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
345.1660000000	n/a	n/a	Fixation	n/a	n/a	S100
346.0980000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
346.5480000000	n/a	n/a	Response: Left	n/a	n/a	S  2
346.8840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
