onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
184.7360000000	n/a	n/a	Fixation	n/a	n/a	S100
185.7040000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
186.4240000000	n/a	n/a	Response: Up	n/a	n/a	S  1
186.8040000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
187.3700000000	n/a	n/a	Fixation	n/a	n/a	S100
188.3440000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
188.9060000000	n/a	n/a	Response: Right	n/a	n/a	S  3
189.3560000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
189.9220000000	n/a	n/a	Fixation	n/a	n/a	S100
190.8540000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
191.3740000000	n/a	n/a	Response: Right	n/a	n/a	S  3
191.6740000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
192.2400000000	n/a	n/a	Fixation	n/a	n/a	S100
193.1020000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
193.9580000000	n/a	n/a	Response: Up	n/a	n/a	S  1
194.2260000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
194.7920000000	n/a	n/a	Fixation	n/a	n/a	S100
195.8140000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
196.4380000000	n/a	n/a	Response: Up	n/a	n/a	S  1
196.7780000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
197.3440000000	n/a	n/a	Fixation	n/a	n/a	S100
198.3660000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
198.8140000000	n/a	n/a	Response: Up	n/a	n/a	S  1
199.2300000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
199.7960000000	n/a	n/a	Fixation	n/a	n/a	S100
200.7080000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
201.2740000000	n/a	n/a	Response: Left	n/a	n/a	S  2
201.6480000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
202.2160000000	n/a	n/a	Fixation	n/a	n/a	S100
203.1460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
203.6780000000	n/a	n/a	Response: Up	n/a	n/a	S  1
204.0840000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
204.6500000000	n/a	n/a	Fixation	n/a	n/a	S100
205.6920000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
206.1740000000	n/a	n/a	Response: Right	n/a	n/a	S  3
206.5680000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
207.1360000000	n/a	n/a	Fixation	n/a	n/a	S100
207.9960000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
208.4180000000	n/a	n/a	Response: Up	n/a	n/a	S  1
208.8200000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
209.3880000000	n/a	n/a	Fixation	n/a	n/a	S100
210.4080000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
210.9460000000	n/a	n/a	Response: Up	n/a	n/a	S  1
211.3060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
211.8720000000	n/a	n/a	Fixation	n/a	n/a	S100
212.8640000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
213.2980000000	n/a	n/a	Response: Up	n/a	n/a	S  1
213.7580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
214.3240000000	n/a	n/a	Fixation	n/a	n/a	S100
215.3260000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
215.8580000000	n/a	n/a	Response: Right	n/a	n/a	S  3
216.1760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
216.7420000000	n/a	n/a	Fixation	n/a	n/a	S100
217.7540000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
218.2420000000	n/a	n/a	Response: Right	n/a	n/a	S  3
218.5280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
219.0940000000	n/a	n/a	Fixation	n/a	n/a	S100
220.0060000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
220.4780000000	n/a	n/a	Response: Left	n/a	n/a	S  2
220.8460000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
