onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
298.9440000000	n/a	n/a	Fixation	n/a	n/a	S100
299.9040000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
301.4020000000	n/a	n/a	Response: Up	n/a	n/a	S  1
301.8620000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
302.4300000000	n/a	n/a	Fixation	n/a	n/a	S100
303.4240000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
303.9300000000	n/a	n/a	Response: Up	n/a	n/a	S  1
304.3820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
304.9480000000	n/a	n/a	Fixation	n/a	n/a	S100
305.8000000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
306.2340000000	n/a	n/a	Response: Up	n/a	n/a	S  1
306.5160000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
307.0840000000	n/a	n/a	Fixation	n/a	n/a	S100
308.0740000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
308.9340000000	n/a	n/a	Response: Right	n/a	n/a	S  3
309.2340000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
309.8020000000	n/a	n/a	Fixation	n/a	n/a	S100
310.7740000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
311.3660000000	n/a	n/a	Response: Up	n/a	n/a	S  1
311.7700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
312.3380000000	n/a	n/a	Fixation	n/a	n/a	S100
313.3080000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
313.8060000000	n/a	n/a	Response: Up	n/a	n/a	S  1
314.1560000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
314.7220000000	n/a	n/a	Fixation	n/a	n/a	S100
315.7640000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
316.3620000000	n/a	n/a	Response: Left	n/a	n/a	S  2
316.7240000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
317.2920000000	n/a	n/a	Fixation	n/a	n/a	S100
318.2420000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
318.7740000000	n/a	n/a	Response: Left	n/a	n/a	S  2
319.0420000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
319.6100000000	n/a	n/a	Fixation	n/a	n/a	S100
320.6500000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
321.1540000000	n/a	n/a	Response: Left	n/a	n/a	S  2
321.4940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
322.0620000000	n/a	n/a	Fixation	n/a	n/a	S100
323.0320000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
323.6060000000	n/a	n/a	Response: Right	n/a	n/a	S  3
323.9800000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
324.5460000000	n/a	n/a	Fixation	n/a	n/a	S100
325.5580000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
326.2340000000	n/a	n/a	Response: Up	n/a	n/a	S  1
326.5480000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
327.1160000000	n/a	n/a	Fixation	n/a	n/a	S100
328.0460000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
328.6020000000	n/a	n/a	Response: Up	n/a	n/a	S  1
328.9500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
329.5180000000	n/a	n/a	Fixation	n/a	n/a	S100
330.5280000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
330.9900000000	n/a	n/a	Response: Left	n/a	n/a	S  2
331.3020000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
331.8680000000	n/a	n/a	Fixation	n/a	n/a	S100
332.8200000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
333.5900000000	n/a	n/a	Response: Right	n/a	n/a	S  3
334.0540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
334.6200000000	n/a	n/a	Fixation	n/a	n/a	S100
335.4720000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
336.0700000000	n/a	n/a	Response: Up	n/a	n/a	S  1
336.3560000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
336.9220000000	n/a	n/a	Fixation	n/a	n/a	S100
337.8540000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
338.4100000000	n/a	n/a	Response: Right	n/a	n/a	S  3
338.7400000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
339.3080000000	n/a	n/a	Fixation	n/a	n/a	S100
340.2280000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
340.7420000000	n/a	n/a	Response: Right	n/a	n/a	S  3
341.0760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
341.6420000000	n/a	n/a	Fixation	n/a	n/a	S100
342.6140000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
343.0700000000	n/a	n/a	Response: Right	n/a	n/a	S  3
343.4100000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
343.9780000000	n/a	n/a	Fixation	n/a	n/a	S100
345.0200000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
345.5220000000	n/a	n/a	Response: Left	n/a	n/a	S  2
345.8620000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
346.4300000000	n/a	n/a	Fixation	n/a	n/a	S100
347.4320000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
347.9500000000	n/a	n/a	Response: Right	n/a	n/a	S  3
348.2820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
348.8480000000	n/a	n/a	Fixation	n/a	n/a	S100
349.7600000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
350.3380000000	n/a	n/a	Response: Up	n/a	n/a	S  1
350.7500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
351.3160000000	n/a	n/a	Fixation	n/a	n/a	S100
352.3080000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
352.7860000000	n/a	n/a	Response: Left	n/a	n/a	S  2
353.2020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
353.7680000000	n/a	n/a	Fixation	n/a	n/a	S100
354.7700000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
355.5100000000	n/a	n/a	Response: Up	n/a	n/a	S  1
355.9040000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
356.4700000000	n/a	n/a	Fixation	n/a	n/a	S100
357.4920000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
357.9980000000	n/a	n/a	Response: Right	n/a	n/a	S  3
358.3060000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
358.8720000000	n/a	n/a	Fixation	n/a	n/a	S100
359.7840000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
360.2700000000	n/a	n/a	Response: Right	n/a	n/a	S  3
360.5740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
361.1420000000	n/a	n/a	Fixation	n/a	n/a	S100
362.0920000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
362.5620000000	n/a	n/a	Response: Right	n/a	n/a	S  3
362.8580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
363.4260000000	n/a	n/a	Fixation	n/a	n/a	S100
364.3580000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
364.8100000000	n/a	n/a	Response: Left	n/a	n/a	S  2
365.2280000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
365.7940000000	n/a	n/a	Fixation	n/a	n/a	S100
366.7160000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
367.2180000000	n/a	n/a	Response: Left	n/a	n/a	S  2
367.6300000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
368.1960000000	n/a	n/a	Fixation	n/a	n/a	S100
369.1480000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
369.9180000000	n/a	n/a	Response: Up	n/a	n/a	S  1
370.1820000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
370.7480000000	n/a	n/a	Fixation	n/a	n/a	S100
371.7700000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
372.2420000000	n/a	n/a	Response: Left	n/a	n/a	S  2
372.5500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
373.1160000000	n/a	n/a	Fixation	n/a	n/a	S100
374.0280000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
374.5220000000	n/a	n/a	Response: Left	n/a	n/a	S  2
374.9180000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
375.4860000000	n/a	n/a	Fixation	n/a	n/a	S100
376.4760000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
376.9660000000	n/a	n/a	Response: Left	n/a	n/a	S  2
377.4360000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
378.0040000000	n/a	n/a	Fixation	n/a	n/a	S100
378.9060000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
379.4700000000	n/a	n/a	Response: Right	n/a	n/a	S  3
379.7880000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
380.3560000000	n/a	n/a	Fixation	n/a	n/a	S100
381.3360000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
382.1460000000	n/a	n/a	Response: Right	n/a	n/a	S  3
382.5400000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
383.1080000000	n/a	n/a	Fixation	n/a	n/a	S100
384.1100000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
384.9000000000	n/a	n/a	Response: Up	n/a	n/a	S  1
385.2760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
385.8440000000	n/a	n/a	Fixation	n/a	n/a	S100
386.8940000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
387.3560000000	n/a	n/a	Response: Up	n/a	n/a	S  1
387.6940000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
388.2620000000	n/a	n/a	Fixation	n/a	n/a	S100
389.2520000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
389.8440000000	n/a	n/a	Response: Left	n/a	n/a	S  2
390.2960000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
390.8640000000	n/a	n/a	Fixation	n/a	n/a	S100
391.7640000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
392.3320000000	n/a	n/a	Response: Left	n/a	n/a	S  2
392.7660000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
393.3320000000	n/a	n/a	Fixation	n/a	n/a	S100
394.3140000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
394.8200000000	n/a	n/a	Response: Left	n/a	n/a	S  2
395.1340000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
395.7000000000	n/a	n/a	Fixation	n/a	n/a	S100
396.7520000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
397.1640000000	n/a	n/a	Response: Left	n/a	n/a	S  2
397.5360000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
