onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
203.5040000000	n/a	n/a	Fixation	n/a	n/a	S100
204.4360000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
204.9000000000	n/a	n/a	Response: Left	n/a	n/a	S  2
205.2220000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
205.7900000000	n/a	n/a	Fixation	n/a	n/a	S100
206.7340000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
207.3860000000	n/a	n/a	Response: Up	n/a	n/a	S  1
207.7580000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
208.3260000000	n/a	n/a	Fixation	n/a	n/a	S100
209.2360000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
209.6980000000	n/a	n/a	Response: Left	n/a	n/a	S  2
210.0440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
210.6100000000	n/a	n/a	Fixation	n/a	n/a	S100
211.6220000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
212.2180000000	n/a	n/a	Response: Up	n/a	n/a	S  1
212.5440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
213.1120000000	n/a	n/a	Fixation	n/a	n/a	S100
214.0240000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
214.6100000000	n/a	n/a	Response: Up	n/a	n/a	S  1
215.0640000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
215.6300000000	n/a	n/a	Fixation	n/a	n/a	S100
216.4820000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
216.9820000000	n/a	n/a	Response: Left	n/a	n/a	S  2
217.3320000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
217.9000000000	n/a	n/a	Fixation	n/a	n/a	S100
218.8300000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
219.3500000000	n/a	n/a	Response: Left	n/a	n/a	S  2
219.7500000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
220.3180000000	n/a	n/a	Fixation	n/a	n/a	S100
221.1980000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
221.7500000000	n/a	n/a	Response: Left	n/a	n/a	S  2
222.0860000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
222.6520000000	n/a	n/a	Fixation	n/a	n/a	S100
223.5640000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
